Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
228,Oklahoma State,20,14,6,0.7,12.46,6.71,2,5,12,2,0,3,1723,1608,800,597,1260,0.474,156,448,0.348,373,495,0.754,224,761,308,156,57,256,341
229,Old Dominion,22,7,15,0.318,-6.46,-1.32,4,6,4,4,3,11,1632,1700,890,573,1327,0.432,171,504,0.339,315,439,0.718,208,783,279,133,66,242,425
230,Omaha,23,11,12,0.478,-7.11,-3.0,4,4,7,4,4,6,1754,1738,925,619,1324,0.468,194,554,0.35,322,446,0.722,212,794,313,150,55,271,379
231,Oral Roberts,22,5,17,0.227,-11.24,1.03,0,7,4,7,0,9,1583,1717,890,523,1239,0.422,183,579,0.316,354,476,0.744,224,730,254,138,75,310,431
232,Oregon,21,8,13,0.381,9.08,10.85,1,9,7,5,1,4,1519,1556,845,516,1218,0.424,176,536,0.328,311,439,0.708,262,759,292,124,90,259,336
233,Oregon State,23,11,12,0.478,-1.99,2.36,4,6,9,4,2,5,1613,1713,930,506,1196,0.423,187,546,0.342,414,531,0.78,185,719,295,135,86,280,420
234,Pacific,23,15,8,0.652,4.11,0.25,6,4,10,0,3,8,1721,1559,925,617,1296,0.476,170,479,0.355,317,417,0.76,273,885,347,138,57,310,427
235,Penn State,20,9,11,0.45,5.06,6.21,0,9,7,5,1,4,1532,1555,800,545,1165,0.468,155,466,0.333,287,387,0.742,188,614,265,142,28,191,310
236,Pennsylvania,18,9,9,0.5,-2.73,-1.44,2,3,7,2,2,6,1384,1359,720,475,1072,0.443,144,375,0.384,290,417,0.695,217,663,256,105,60,204,305
237,Pepperdine,23,6,17,0.261,-6.34,3.57,1,9,5,8,1,8,1618,1781,930,565,1328,0.425,151,520,0.29,337,442,0.762,251,777,310,135,57,303,341
238,Pittsburgh,21,9,12,0.429,8.0,6.48,2,6,7,7,1,4,1533,1501,845,548,1239,0.442,178,514,0.346,259,390,0.664,261,748,276,141,69,228,362
239,Portland,23,10,13,0.435,-1.99,3.16,3,7,9,5,1,8,1760,1814,930,627,1350,0.464,147,479,0.307,359,488,0.736,229,795,397,137,71,314,419
240,Portland State,18,13,5,0.722,0.41,-2.6,7,0,7,1,6,4,1439,1273,730,527,1100,0.479,129,382,0.338,256,366,0.699,216,694,300,136,78,230,378
241,Prairie View,21,8,13,0.381,-15.83,-5.77,3,5,6,2,1,10,1691,1676,840,569,1275,0.446,129,388,0.332,424,558,0.76,207,698,259,190,85,268,419
242,Presbyterian,22,11,11,0.5,-9.22,-5.53,4,3,8,2,2,9,1579,1550,880,567,1204,0.471,120,375,0.32,325,485,0.67,248,776,291,128,89,279,379
243,Princeton,20,7,13,0.35,-5.79,-1.69,3,2,7,1,0,8,1393,1430,810,465,1124,0.414,179,533,0.336,284,380,0.747,195,690,258,102,43,222,337
244,Providence,21,9,12,0.429,10.74,8.07,2,8,7,4,1,5,1864,1808,865,641,1342,0.478,192,545,0.352,390,500,0.78,233,812,327,127,94,246,408
245,Purdue,21,17,4,0.81,25.45,11.49,7,3,10,2,4,2,1747,1454,840,653,1277,0.511,187,490,0.382,254,343,0.741,233,761,422,122,63,195,298
