Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Davis Daniel,5.4,10.0,28,4.99,5.78,0.196,0.152,8.1,6.3,8.1,0.9,Daniel
Justin Garza,5.4,6.2,31,4.59,4.66,0.107,0.036000000000000004,4.05,1.35,10.8,1.35,Garza
Angel Perdomo,5.4,3.1,31,5.49,6.83,0.125,0.188,5.4,8.1,5.4,0.0,Perdomo
Scott Effross,5.59,9.2,31,3.82,4.01,0.14,0.047,5.59,1.86,11.17,0.93,Effross
Matt Bowman,5.79,23.1,34,4.89,4.9,0.157,0.055999999999999994,6.56,2.31,11.19,1.54,Bowman
Jordan Weems,6.0,3.0,32,3.09,5.08,0.0,0.0,0.0,0.0,15.0,0.0,Weems
Vinny Capra,6.0,3.0,28,6.76,6.4,0.067,0.0,3.0,0.0,15.0,3.0,Capra
Jack Little,6.0,3.0,27,3.76,6.24,0.14300000000000002,0.071,6.0,3.0,12.0,0.0,Little
Carson Spiers,6.08,13.1,27,6.17,5.48,0.183,0.11699999999999999,7.43,4.73,8.78,2.03,Spiers
Adam Mazur,6.35,5.2,24,5.74,5.55,0.185,0.14800000000000002,7.94,6.35,7.94,1.59,Mazur
Liam Hendriks,6.59,13.2,36,5.0,5.06,0.203,0.11900000000000001,7.9,4.61,7.9,1.32,Hendriks
Jon Berti,6.75,2.2,35,6.47,9.82,0.0,0.214,0.0,10.13,10.13,0.0,Berti
Luis Castillo,7.71,7.0,30,4.66,6.58,0.122,0.171,6.43,9.0,15.43,0.0,Castillo
Jeff Brigham,8.1,3.1,33,6.09,4.43,0.16699999999999998,0.055999999999999994,8.1,2.7,18.9,2.7,Brigham
Joel Payamps,8.35,18.1,31,4.46,4.93,0.19,0.071,7.85,2.95,12.27,1.47,Payamps
Austin Hedges,9.0,1.0,32,4.09,5.58,0.16699999999999998,0.16699999999999998,9.0,9.0,18.0,0.0,Hedges
Tyler Heineman,9.0,1.0,34,6.09,10.56,0.0,0.0,0.0,0.0,9.0,0.0,Heineman
Tyler Wade,9.0,1.0,30,6.09,7.58,0.0,0.16699999999999998,0.0,9.0,18.0,0.0,Wade
Touki Toussaint,9.0,2.0,29,1.59,2.34,0.273,0.091,13.5,4.5,18.0,0.0,Toussaint
Yilber Diaz,9.0,3.0,24,5.43,7.41,0.067,0.2,3.0,9.0,12.0,0.0,Diaz
Joe Rock,9.0,2.0,24,7.09,1.34,0.33299999999999996,0.0,18.0,0.0,18.0,4.5,Rock
Jacob Barnes,9.0,8.0,35,4.59,4.83,0.139,0.083,5.63,3.38,11.25,1.13,Barnes
Gerson Garabito,9.0,8.0,29,3.84,3.34,0.195,0.024,9.0,1.13,16.88,1.13,Garabito
Yu Darvish,9.18,16.2,38,5.31,5.09,0.138,0.113,5.94,4.86,11.34,1.08,Darvish
Shinnosuke Ogasawara,9.45,6.2,27,5.19,4.58,0.125,0.031,5.4,1.35,14.85,1.35,Ogasawara
Luarbert Arias,10.61,9.1,24,4.81,5.49,0.18,0.1,8.68,4.82,14.46,0.96,Arias
Tucker Barnhart,13.5,2.0,34,4.59,6.83,0.0,0.0,0.0,0.0,22.5,0.0,Barnhart
Cody Bolton,13.5,2.0,27,2.09,4.33,0.1,0.0,4.5,0.0,18.0,0.0,Bolton
Doug Nikhazy,13.5,4.0,25,5.09,7.33,0.217,0.261,11.25,13.5,11.25,0.0,Nikhazy
Cody Poteet,16.88,2.2,30,4.59,9.06,0.063,0.125,3.38,6.75,20.25,0.0,Poteet
Travis Jankowski,18.0,1.0,34,9.09,10.58,0.0,0.16699999999999998,0.0,9.0,18.0,0.0,Jankowski
Mike Yastrzemski,18.0,1.0,34,9.09,12.07,0.0,0.14300000000000002,0.0,9.0,18.0,0.0,Yastrzemski
